Index,Salary,Salary_Type,Location,Website,Scrape Date
Academic+Department+Director,"116,852",Annually,US,Talent.com,2023-11-30
Academic+Director,"79,669",Annually,US,Talent.com,2023-11-30
Academic+Faculty,"74,880",Annually,US,Talent.com,2023-11-30
Academic+Fellow,"41,600",Annually,US,Talent.com,2023-11-30
Academic+Hospitalist,"214,500",Annually,US,Talent.com,2023-11-30
Academic+Instructor,"48,750",Annually,US,Talent.com,2023-11-30
Academic+Interventionist,"48,811",Annually,US,Talent.com,2023-11-30
Academic+Librarian,"56,992",Annually,US,Talent.com,2023-11-30
Academic+Library+Director,"86,739",Annually,US,Talent.com,2023-11-30
﻿Academic+Life+Coach,"47,590",Annually,US,Talent.com,2023-11-30
Academic+Mentor,"32,500",Annually,US,Talent.com,2023-11-30
Academic+Mentor+Teacher,"32,175",Annually,US,Talent.com,2023-11-30
Academic+Monitor,"30,160",Annually,US,Talent.com,2023-11-30
Academic+Officer,"100,583",Annually,US,Talent.com,2023-11-30
Academic+Peer+Mentor,"23,400",Annually,US,Talent.com,2023-11-30
Academic+Peer+Tutor,"25,740",Annually,US,Talent.com,2023-11-30
Academic+Proctor,"31,200",Annually,US,Talent.com,2023-11-30
Academic+Professor,"86,356",Annually,US,Talent.com,2023-11-30
Academic+Program+Administrator,"58,500",Annually,US,Talent.com,2023-11-30
Academic+Program+Advisor,"52,477",Annually,US,Talent.com,2023-11-30
Academic+Program+Director,"94,200",Annually,US,Talent.com,2023-11-30
Academic+Program+Manager,"70,400",Annually,US,Talent.com,2023-11-30
Academic+Program+Specialist,"47,485",Annually,US,Talent.com,2023-11-30
Academic+Records+Coordinator,"48,500",Annually,US,Talent.com,2023-11-30
Academic+Recruiter,"49,000",Annually,US,Talent.com,2023-11-30
Academic+Researcher,"117,350",Annually,US,Talent.com,2023-11-30
Academic+Scholar,"50,488",Annually,US,Talent.com,2023-11-30
Academic+Services+Coordinator,"45,934",Annually,US,Talent.com,2023-11-30
Academic+Services+Officer,"55,601",Annually,US,Talent.com,2023-11-30
Academic+Student+Employee,"20,475",Annually,US,Talent.com,2023-11-30
Academic+Success+Coach,"42,105",Annually,US,Talent.com,2023-11-30
Academic+Success+Counselor,"68,244",Annually,US,Talent.com,2023-11-30
Academic+Supervisor,"61,498",Annually,US,Talent.com,2023-11-30
Academic+Support,"45,045",Annually,US,Talent.com,2023-11-30
Academic+Support+Aide,"21,450",Annually,US,Talent.com,2023-11-30
Academic+Support+Coordinator,"46,822",Annually,US,Talent.com,2023-11-30
Academic+Support+Specialist,"44,850",Annually,US,Talent.com,2023-11-30
Academic+Teacher,"57,184",Annually,US,Talent.com,2023-11-30
Academic+Technology+Coordinator,"61,016",Annually,US,Talent.com,2023-11-30
Academic+Technology+Specialist,"66,000",Annually,US,Talent.com,2023-11-30
Academic+Test+Proctor,"25,106",Annually,US,Talent.com,2023-11-30
Academic+Testing+Coordinator,"49,500",Annually,US,Talent.com,2023-11-30
Academic+Trainer,"47,235",Annually,US,Talent.com,2023-11-30
Academic+Tutor,"38,999",Annually,US,Talent.com,2023-11-30
Academic+Tutor+And+Mentor,"114,400",Annually,US,Talent.com,2023-11-30
Academy+Director,"67,314",Annually,US,Talent.com,2023-11-30
Academy+Manager,"62,310",Annually,US,Talent.com,2023-11-30
Academy+Training+Facilitator,"70,096",Annually,US,Talent.com,2023-11-30
Accelerator+Physicist,"130,950",Annually,US,Talent.com,2023-11-30
Access+Associate,"40,577",Annually,US,Talent.com,2023-11-30
Access+Control+Installer,"55,000",Annually,US,Talent.com,2023-11-30
