Job_Title,Salary,Salary_Type,Location,Website,Scrape Date
family-nurse-practitioner,"83,747",Annually,US,Zengig,30-11-2023
fashion-designer,"63,269",Annually,US,Zengig,30-11-2023
fbi-agent,"67,203",Annually,US,Zengig,30-11-2023
fedex-driver,"52,532",Annually,US,Zengig,30-11-2023
field-service-technician,"39,980",Annually,US,Zengig,30-11-2023
file-clerk,"28,688",Annually,US,Zengig,30-11-2023
finance-director,"94,168",Annually,US,Zengig,30-11-2023
finance-manager,"59,222",Annually,US,Zengig,30-11-2023
financial-advisor,"66,298",Annually,US,Zengig,30-11-2023
financial-aid-specialist,"35,217",Annually,US,Zengig,30-11-2023
financial-analyst,"63,178",Annually,US,Zengig,30-11-2023
financial-examiner,"68,720",Annually,US,Zengig,30-11-2023
financial-manager,"87,180",Annually,US,Zengig,30-11-2023
firefighter,"56,245",Annually,US,Zengig,30-11-2023
fitness-center-manager,"40,234",Annually,US,Zengig,30-11-2023
flight-attendant,"40,360",Annually,US,Zengig,30-11-2023
flight-nurse,"73,474",Annually,US,Zengig,30-11-2023
forensic-pathologist,"85,005",Annually,US,Zengig,30-11-2023
forensic-psychologist,"76,838",Annually,US,Zengig,30-11-2023
forensic-scientist,"54,898",Annually,US,Zengig,30-11-2023
forklift-operator,"30,959",Annually,US,Zengig,30-11-2023
freight-broker,"49,104",Annually,US,Zengig,30-11-2023
front-end-developer,"79,144",Annually,US,Zengig,30-11-2023
fulfillment-coordinator,"35,251",Annually,US,Zengig,30-11-2023
full-stack-developer,"90,250",Annually,US,Zengig,30-11-2023
funeral-director,"45,749",Annually,US,Zengig,30-11-2023
game-designer,"62,672",Annually,US,Zengig,30-11-2023
game-developer,"77,650",Annually,US,Zengig,30-11-2023
game-warden,"49,348",Annually,US,Zengig,30-11-2023
garbage-collector,"35,436",Annually,US,Zengig,30-11-2023
gastroenterologist,"1,46,134",Annually,US,Zengig,30-11-2023
general-counsel,"1,15,324",Annually,US,Zengig,30-11-2023
general-manager,"62,200",Annually,US,Zengig,30-11-2023
genetic-counselor,"71,071",Annually,US,Zengig,30-11-2023
geologist,"74,720",Annually,US,Zengig,30-11-2023
geotechnical-engineer,"68,215",Annually,US,Zengig,30-11-2023
geothermal-energy-engineer,"86,500",Annually,US,Zengig,30-11-2023
gis-specialist,"55,800",Annually,US,Zengig,30-11-2023
grant-writer,"63,453",Annually,US,Zengig,30-11-2023
graphic-designer,"48,319",Annually,US,Zengig,30-11-2023
gynecologist,"1,50,589",Annually,US,Zengig,30-11-2023
health-and-safety-inspector,"60,007",Annually,US,Zengig,30-11-2023
healthcare-customer-care-representative,"31,295",Annually,US,Zengig,30-11-2023
healthcare-enrollment-specialist,"32,538",Annually,US,Zengig,30-11-2023
hedis-coordinator,"56,133",Annually,US,Zengig,30-11-2023
helicopter-pilot,"75,121",Annually,US,Zengig,30-11-2023
help-desk-manager,"71,854",Annually,US,Zengig,30-11-2023
help-desk-specialist,"42,060",Annually,US,Zengig,30-11-2023
high-school-teacher,"45,400",Annually,US,Zengig,30-11-2023
home-health-aide,"23,842",Annually,US,Zengig,30-11-2023
home-inspector,"48,473",Annually,US,Zengig,30-11-2023
homicide-detective,"70,576",Annually,US,Zengig,30-11-2023
hospital-administrator,"78,550",Annually,US,Zengig,30-11-2023
hospitalist,"1,65,142",Annually,US,Zengig,30-11-2023
hotel-manager,"67,294",Annually,US,Zengig,30-11-2023
hr-administrator,"50,711",Annually,US,Zengig,30-11-2023
hr-assistant,"35,281",Annually,US,Zengig,30-11-2023
hr-coordinator,"41,196",Annually,US,Zengig,30-11-2023
hr-director,"88,606",Annually,US,Zengig,30-11-2023
hr-generalist,"58,127",Annually,US,Zengig,30-11-2023
hr-manager,"77,215",Annually,US,Zengig,30-11-2023
hr-specialist,"48,427",Annually,US,Zengig,30-11-2023
hris-manager,"86,777",Annually,US,Zengig,30-11-2023
hvac-technician,"45,913",Annually,US,Zengig,30-11-2023
icu-nurse,"72,368",Annually,US,Zengig,30-11-2023
illustrator,"47,421",Annually,US,Zengig,30-11-2023
inbound-customer-service-representative,"38,360",Annually,US,Zengig,30-11-2023
industrial-engineer,"77,534",Annually,US,Zengig,30-11-2023
industrial-mechanic,"48,300",Annually,US,Zengig,30-11-2023
informatics-nurse,"86,350",Annually,US,Zengig,30-11-2023
information-security-analyst,"72,566",Annually,US,Zengig,30-11-2023
inside-sales-representative,"46,497",Annually,US,Zengig,30-11-2023
inspector,"68,017",Annually,US,Zengig,30-11-2023
instructional-designer,"65,588",Annually,US,Zengig,30-11-2023
insurance-adjuster,"62,097",Annually,US,Zengig,30-11-2023
insurance-agent,"58,269",Annually,US,Zengig,30-11-2023
insurance-claims-examiner,"48,524",Annually,US,Zengig,30-11-2023
insurance-sales,"43,470",Annually,US,Zengig,30-11-2023
intake-specialist,"36,553",Annually,US,Zengig,30-11-2023
intellectual-property-attorney,"95,147",Annually,US,Zengig,30-11-2023
interior-designer,"53,614",Annually,US,Zengig,30-11-2023
interventional-radiologist,"1,37,931",Annually,US,Zengig,30-11-2023
investment-banker,"1,37,000",Annually,US,Zengig,30-11-2023
it-auditor,"78,805",Annually,US,Zengig,30-11-2023
it-director,"1,09,448",Annually,US,Zengig,30-11-2023
it-manager,"1,01,731",Annually,US,Zengig,30-11-2023
it-project-manager,"89,063",Annually,US,Zengig,30-11-2023
it-specialist,"52,263",Annually,US,Zengig,30-11-2023
it-support-technician,"46,481",Annually,US,Zengig,30-11-2023
it-technician,"46,178",Annually,US,Zengig,30-11-2023
janitor,"26,182",Annually,US,Zengig,30-11-2023
java-developer,"1,01,060",Annually,US,Zengig,30-11-2023
javascript-developer,"86,600",Annually,US,Zengig,30-11-2023
journalist,"49,368",Annually,US,Zengig,30-11-2023
journeyman-electrician,"50,183",Annually,US,Zengig,30-11-2023
judge,"1,30,000",Annually,US,Zengig,30-11-2023
junior-accountant,"49,980",Annually,US,Zengig,30-11-2023
junior-architect,"54,593",Annually,US,Zengig,30-11-2023
junior-architectural-designer,"49,866",Annually,US,Zengig,30-11-2023
key-holder,"27,491",Annually,US,Zengig,30-11-2023
lab-technician,"39,818",Annually,US,Zengig,30-11-2023
labor-and-delivery-nurse,"59,741",Annually,US,Zengig,30-11-2023
labor-attorney,"94,475",Annually,US,Zengig,30-11-2023
laboratory-analyst,"41,585",Annually,US,Zengig,30-11-2023
laboratory-assistant,"33,600",Annually,US,Zengig,30-11-2023
landscape-architect,"57,843",Annually,US,Zengig,30-11-2023
law-firm-administrator,"59,560",Annually,US,Zengig,30-11-2023
lawyer,"80,700",Annually,US,Zengig,30-11-2023
leasing-agent,"34,053",Annually,US,Zengig,30-11-2023
leasing-consultant,"29,383",Annually,US,Zengig,30-11-2023
legal-assistant,"45,837",Annually,US,Zengig,30-11-2023
legal-clerk,"39,453",Annually,US,Zengig,30-11-2023
legal-data-entry-specialist,"28,664",Annually,US,Zengig,30-11-2023
legal-investigator,"60,093",Annually,US,Zengig,30-11-2023
legal-receptionist,"33,746",Annually,US,Zengig,30-11-2023
legal-secretary,"52,175",Annually,US,Zengig,30-11-2023
librarian,"53,413",Annually,US,Zengig,30-11-2023
licensed-practical-nurse,"44,058",Annually,US,Zengig,30-11-2023
life-coach,"49,519",Annually,US,Zengig,30-11-2023
light-industrial-worker,"33,829",Annually,US,Zengig,30-11-2023
lineman,"74,084",Annually,US,Zengig,30-11-2023
linux-engineer,"84,175",Annually,US,Zengig,30-11-2023
litigation-support-specialist,"57,851",Annually,US,Zengig,30-11-2023
lms-specialist,"59,870",Annually,US,Zengig,30-11-2023
loan-officer,"68,701",Annually,US,Zengig,30-11-2023
loan-processor,"37,033",Annually,US,Zengig,30-11-2023
logistics-coordinator,"45,678",Annually,US,Zengig,30-11-2023
logistics-manager,"71,685",Annually,US,Zengig,30-11-2023
longshoreman,"48,431",Annually,US,Zengig,30-11-2023
loss-control-specialist,"69,520",Annually,US,Zengig,30-11-2023
lpn,"44,058",Annually,US,Zengig,30-11-2023
lvn,"44,884",Annually,US,Zengig,30-11-2023
machine-learning-engineer,"1,05,093",Annually,US,Zengig,30-11-2023
machine-operator,"30,973",Annually,US,Zengig,30-11-2023
machinist,"38,469",Annually,US,Zengig,30-11-2023
mail-carrier,"54,894",Annually,US,Zengig,30-11-2023
mail-clerk,"29,423",Annually,US,Zengig,30-11-2023
mail-handler,"35,429",Annually,US,Zengig,30-11-2023
maintenance-technician,"38,249",Annually,US,Zengig,30-11-2023
management-analyst,"74,400",Annually,US,Zengig,30-11-2023
management-consultant,"90,000",Annually,US,Zengig,30-11-2023
manufacturing-engineer,"72,326",Annually,US,Zengig,30-11-2023
marine-biologist,"52,710",Annually,US,Zengig,30-11-2023
market-research-analyst,"47,180",Annually,US,Zengig,30-11-2023
